place_id	name	city	pathy	qualification	locality	reason	confidence
3751318773677011400	Dr. Maratha Clinic | Sexual Health Expert	Ahmedabad	Ayurvedic	BAMS		"Multi-city Ayurvedic ""Gupt Rog"" sexology chain (17+ cities) leaning on traditional-medicine, discretion-focused positioning; BAMS practitioners. Not an allopathic clinical competitor to Allo — competes for the same SH/ED/PE intent search demand via aggressive local SEO and Practo presence."	high
17610232386756503645	Dr. Ankit Panchmatia	Ahmedabad	Allopathic	MBBS, MD (Psychiatry)	Ellisbridge	Established consultant psychiatrist (MD Psychiatry, ex-Asst Professor, 9+ yrs) also positioning as sexologist and de-addiction specialist across two clinics (Ellisbridge + Vastral); a credible allopathic MH/sexual-health competitor with strong Practo/Lybrate presence.	high
10617898870491393339	Aash Psychiatry Clinic	Ahmedabad	Allopathic	MBBS, DNB (Psychiatry)	Maninagar (Khokhra Circle)	Established allopathic psychiatrist (Dr. Harshil Chauhan, 13 yrs exp) with de-addiction/neuropsychiatry specialisation and strong Practo/Justdial presence; direct competitor for MH/addiction demand in south-east Ahmedabad at a modest ₹800 fee.	high
11971994768604868257	Navjyoti Sex Clinic	Ahmedabad	Unknown	unknown	Saraspur	"Small standalone ""sex clinic"" brand in Saraspur with no named doctor or degree published on Practo/Justdial/Mappls; low online footprint and no verified reviews make it a weak, low-threat local competitor. Naming pattern suggests a typical Ayurvedic/BAMS men's-clinic but degree unconfirmed."	low
5576911502832247287	Dr. Krunal Patel sexual Health Clinic	Ahmedabad	Ayurvedic	BAMS	Nava Naroda	"BAMS-trained sexologist branding as a dedicated ""Sexual Health Clinic"" for ED/PE; strong Practo/Justdial/own-website presence and SEO in east Ahmedabad (Nava Naroda). Ayurvedic practitioner positioning as allopathic-style sexual medicine specialist — a moderate niche threat in the ED/PE category but limited to one locality."	high
5558395723193186630	Dr Vikram U Deshmukh	Amravati	Allopathic	MBBS, MS (General Surgery), DNB (Urology)	Walcut Compound	Established allopathic urologist/sexologist at Shree Urology Hospital, ~25 yrs experience, strong reputation (4.7 rating, 500+ reviews) — a credible high-authority sexual-health competitor in Amravati.	high
429714823610073315	Dr. Vishal Bahekar | Urologist | Amravati	Amravati	Allopathic	MBBS, MS (General Surgery), MCh (Urology)	Rukhmini Nagar	Highly-qualified super-specialist urologist (MCh) with ~17-20 yrs experience running Bahekar/VIMSS Hospital; strong credibility for male urology/andrology cases (prostate, stones, sexual/urological problems) — a credible clinical competitor for ED/male-health demand in Amravati.	high
12166330852173166826	AshaKiran Clinic | Sexologist in Amravati | Best Sexologist	Amravati	Allopathic	MBBS	Amba Peth	Branch of Dr. Umesh Mundada's established AshaKiran sexology brand (MBBS-led, 35+ yrs, multi-city Maharashtra chain) — strong allopathic sexologist positioning and brand recall; located Amba Peth opp. Baheti Hospital, ~4.0 rating with few reviews.	medium
15832303439441378967	Dr Kaleem's Clinic	Amravati	Homeopathic	BHMS	Navsari	Dr Syed Kaleem (BHMS, MUHS Nashik 2015 + CCMP diploma) is a homeopath marketing as a general physician/sexologist treating sexual dysfunction (ED/PE) — a cross-pathy competitor in the SH category, but a low-threat solo homeopathy clinic without allopathic credentials.	high
10542618749577259752	Sikchi mind care clinic - Best deaddiction / Sexology clinic / CBT, REBT counselling / Old age patient centre in Amravati	Amravati	Allopathic	MBBS, DPM (Psychiatry)	Jaistambh Chowk	Run by Dr. Rachit Sikchi, a qualified MBBS + DPM psychiatrist (allopathic), positioned as a full psychiatry/de-addiction/CBT-REBT counselling centre; credible medical credentials make it a stronger clinical competitor in Amravati's SH/MH space than typical Ayurvedic/homeopathic sexology clinics.	high
6669002372443254413	City Sex Counselling and Therapy Center-Aurangabad	Aurangabad	Allopathic	MD	Silk Mill Colony (Paithan Road)	"Single-doctor branch of a multi-city ""City Sex Counselling"" sexology chain (Dr. S.S. Sayed, MD + PGDPC clinical-sexology diploma) positioned purely on ED/PE/gupt-rog sexual-wellness; niche stigma-driven walk-in positioning, limited to one Aurangabad location — low structural threat vs a full-service clinic but competes for the same sexual-health search intent."	medium
13560469255380904997	Deep Clinic	Aurangabad	Allopathic	MBBS, DPM (Diploma in Psychological Medicine)	Garkheda	Dr. Kuldeep Bawle (MBBS-GMC Aurangabad, DPM-LTMMC Sion Mumbai) runs a psychiatry clinic explicitly treating sexual, addiction, relationship and mental-health problems — a direct allopathic competitor in Allo's SH/MH categories with an established local sexual-health positioning.	high
15064297888349244271	Ashakiran Clinic	Aurangabad	Allopathic	MBBS	Samarthnagar	Dr. Umesh Mundada (MBBS, sexology diploma) is a long-established, high-visibility sexologist (practicing since ~1985, 30+ yrs) with strong SEO/listings presence and a dedicated 'bestsexologistinaurangabad' site — a credible allopathic incumbent competitor in the Aurangabad SH market.	high
1680436215834465983	Dr Ghuge’s Sukhkarta MindCare Clinic	Aurangabad	Allopathic	MBBS, MD (Psychiatry)	Cidco / Hudco (N-9, TV Centre Road)	Credentialed allopathic psychiatrist (MD Psychiatry, ex-Assistant Professor/HOD at GMCH Ghati Hospital) specializing in sexology, de-addiction and child psychiatry — a strong, well-qualified MH/sexual-health competitor in Aurangabad.	high
12158972797476275021	Dr. Renuka Alsi Loya - Gynecologist and Sexologist in Aurangabad(Chh.Sambhajinagar)	Aurangabad	Allopathic	MBBS, MD, DGO	Para Ella For Her Clinic, Aurangabad	Established MBBS/MD/DGO gynaecologist (~10 yrs) with niche cosmetic/psychosexual gynecology positioning at Para Ella clinic; strong branding (own website, active social media, fellowships) makes her a credible allopathic competitor for women's sexual-health demand.	high
7618749129619192663	Dr Lohit's Ayur Clinic	Bangalore	Ayurvedic	BAMS	Basaveshwaranagar	Established Ayurvedic sexologist (Dr. A.V. Lohit, BAMS + PG Diploma Sexology), 18+ yrs, 25,000+ patients, own website + strong Practo presence; a niche men's sexual-health competitor in the SH/ED category but Ayurvedic-positioned, not clinical/allopathic.	high
3034174590235733115	Royale Ayur Clinic	Bangalore	Ayurvedic	BAMS	Indiranagar	Dr. Shahabaz Naushad (BAMS, 11 yrs) positions as Ayurvedic sexologist/infertility specialist targeting ED and male/female sexual problems — direct overlap with Allo's SH/ED demand in Bangalore; strong polite-doctor reviews and low consult fees make it a credible local Ayurvedic competitor.	high
3839046977148730850	Newhope Infertility Specialist	Bangalore	Unani	BUMS (likely; practices Unani medicine — exact degree not published)	Pulikeshi Nagar (Mosque Road)	Not a real IVF/fertility competitor — it's a Unani sexologist clinic (Dr. Shaik Riyazuddin) marketing herbal Unani remedies for ED/PE/male infertility; overlaps Allo's SH/ED male-sexual-health demand in central Bangalore, competing on confidentiality and 5-star review positioning rather than clinical fertility care.	medium
16725429340564478014	Dr. Khokar Men's Health Clinic	Bangalore	Allopathic	MBBS	Cunningham Road	Dr. M A Khokar is an MBBS (Bangalore Medical College) sexologist with ~46 yrs experience, 900+ Justdial ratings and strong ED/PE positioning — a well-established, high-trust allopathic incumbent competitor in central Bangalore.	high
7163616557541776281	Medi Life Health Care - Sexologist Clinic	Bangalore	Unani	BUMS	HBR Layout	"Solo practitioner Dr. M. Akheel (BUMS, Salfia Unani Medical College 2009), ~17 yrs exp, heavy self-branding as ""best sexologist"" with own sites (themenscareclinic.com, thebestsexologist.com) and strong Justdial/Practo/Lybrate presence; a Unani/traditional-medicine male-sexual-health positioning, low-fee (~₹500) volume play — moderate SEO threat but not allopathic/clinical competitor to Allo."	medium
8976160194586929513	Dr KARTHIK K N	Bangalore	Allopathic	MBBS, MD (Psychiatry)	Rajarajeshwarinagar	Directly competitive: MBBS + MD Psychiatry sexologist/andrology-certified doctor in RR Nagar — an allopathic, credentialed sexual & mental health specialist overlapping Allo's core SH/MH categories in Bangalore; strong qualification-based trust positioning.	high
8429260743687643967	Ristar wellness clinic	Bangalore	Mixed	unknown	Jayanagar	Men's sexual-health niche clinic marketing Unani + Ayurveda (spermatorrhea, sexual weakness, infertility) with a strong 5.0/311-review profile in Jayanagar; classic traditional-medicine 'gupt rog' competitor targeting ED/PE/STI intent, though primary doctor's degree (likely BUMS/BAMS) is unconfirmed on directories.	low
1390677642073887316	Sexologist HIV PEP STD	Bangalore	Unknown	unknown	Ullal Upanagara	"Unclaimed, keyword-stuffed Practo listing (""Sexologist HIV PEP STD"") at an RTO-office-road Ullal address with no named doctor, no qualification, and no reviews — a low-credibility SEO/lead-gen profile, not a competitive threat."	low
3643886129868946283	Dr. Ravindra Parashetty	Bangalore	Ayurvedic	BAMS	Kengeri	Ayurvedic (BAMS) sexologist with 25+ yrs experience marketed heavily as 'best sexologist in Bangalore'; strong SEO footprint (own site targeting Kengeri, Banashankari, RR Nagar) plus Practo/Lybrate presence — a niche SH/ED competitor positioning on trust and longevity, but non-allopathic.	high
5953623621775935244	Specialist Women's Clinic Gynecologist	Bangalore	Allopathic	MBBS, DGO	Nagarbhavi	Practo-listed OB-GYN + sexology clinic in Nagarbhavi (RTO Office Road), gynecologist with MBBS+DGO and ~12 yrs experience; combined women's + men's sexual-health positioning makes it a modest local Allopathic competitor in West Bangalore.	medium
2881910782291253010	PassionFruit Clinic	Bangalore	Allopathic	MBBS, MD (Psychiatry) / DPM, FECSM	Koramangala	Strong, well-reviewed (4.8/5) allopathic sexual-wellness specialist; two psychiatry-trained MBBS doctors (Dr. Shivadev M, Dr. Prashant Baspure) both FECSM-certified with 20+ yrs experience. Premium ED/PE/SH positioning in Koramangala, multi-city (Pune) expansion — a serious direct competitor to Allo in the SH/MH space.	high
14662548963662009950	Sagar Dispensary - Best Sexologist in Bangalore | Sex Clinic | Sex Doctor	Bangalore	Unani	BUMS	Rajajinagar	"Long-established (since 1950) Unani/herbal ""Hakim"" family clinic under Dr. Basheer Ahmed Roy, marketing hard on SEO for ""best sexologist Bangalore"" (own site + blog, Practo, Justdial, Lybrate). Traditional-medicine positioning targeting ED/PE/male infertility; a low-price legacy-brand competitor for organic sexual-health search, not an allopathic clinical threat."	high
10026153086242650128	Dr. Ravi Prakash	Bangalore	Allopathic	MBBS, DPM (Psychiatry)	Mathikere - BEL	Established MBBS/DPM psychiatrist (20+ yrs, CIP Ranchi-trained) at Prakash Neurology & Psychiatry Clinic who also markets as sexologist/psychotherapist — direct allopathic competitor in both MH and SH categories with strong Practo/Apollo presence.	high
4610967974778474278	Ayush Health Clinic	Bangalore	Unani	BUMS	Rajajinagar	Established male-sexual-health (ED/PE) sexologist with strong review moat (Justdial 4.8/421 ratings, Practo/Lybrate presence); direct SH-category competitor to Allo in Bangalore, positioning Unani/Ayurvedic supplements as side-effect-free.	high
1780765211601507164	Dr. Darshan Y J	Bangalore	Allopathic	MBBS, MD (Psychiatry)	Yelahanka New Town	Allopathic psychiatrist (MBBS+MD, MS Ramaiah/RGUHS) also positioning as sexologist and de-addiction specialist treating ED and mental health — direct overlap with Allo's MH and SH categories; strong compassionate-care reviews. Evening-only clinic + video consults from Yelahanka; a credible medical-authority competitor in North Bangalore.	high
6523286759493774845	Mind and Brain Hospital	Bangalore	Allopathic	MBBS (Diploma in Psychiatry)	Sahakar Nagar	Established 50-bed accredited psychiatric hospital staffed by MBBS/DPM psychiatrists, neurologists and clinical psychologists — a strong credentialed allopathic MH competitor with inpatient capacity.	high
11925148569375207669	Malik Dispensary	Bangalore	Unani	BUMS (likely, unconfirmed)	Kempegowda Road (KG Road), Gandhi Nagar	Legacy Unani sexologist dispensary (est. 1971) on KG Road with 5.0/630 reviews; strong local trust in male sexual-health niche, competes on hakim remedies and low fees.	low
2855475185246262744	Dr Madhusudhan Naidu	Bangalore	Allopathic	MBBS, DGO (MRCOG, urogynaecology subspecialist)	Marathahalli / Whitefield	Senior UK-trained (MRCOG, Royal College London urogynaecology subspecialist) gynaecologist/urogynaecologist with 15+ yrs experience; strong credentials position him as a high-trust specialist in women's/sexual health for the Marathahalli-Whitefield east Bangalore corridor.	high
6178790772261837998	Dr Rajesh's Sexology Clinic	Bhopal	Homeopathic	BHMS	Kasturba Nagar	Dr. Rajesh Manghnani (BHMS + Fellowship in Clinical Sexology) is a 20+ yr homeopathic sexologist with strong review moat (4.9/5, ~887 ratings on Justdial/Practo) and heavy SEO presence (owns bestsexologistdoctor.com, bestsexologistinbhopal.com). Positions on 'natural treatment' for male/female sexual problems — a credible incumbent competitor for STI/SH demand in Bhopal, though homeopathy (not allopathic), so beatable on clinical/allopathic positioning.	high
262941033970413282	Dr Diwakar's Clinic	Bhopal	Homeopathic	BHMS	Misrod (Narmadapuram / Hoshangabad Road)	Homeopath (Dr. Surendra Diwakar, BHMS) marketed heavily as a 'sexologist' with strong review volume (5/5, ~2,798 ratings); positioning targets SH/ED demand but treatment is homeopathic, not allopathic — a review-driven local competitor for sexual-health leads rather than a clinical threat.	high
6999946413860758504	Dr.Shivam Bhandari Jain	Bhopal	Allopathic	MBBS, MD (Psychiatry)	Lalghati	Qualified allopathic psychiatrist (MD Psychiatry, LGBRIMH Tezpur) positioning as de-addiction specialist AND sexologist/psychosexual health — a direct credentialed competitor for Allo's SH/MH categories in Bhopal, listed across Practo, Justdial and own website with active social presence.	high
8879142180687873442	Dr. Ajaz	Bhopal	Unani	BUMS	Hamidia Road	Established Unani sexologist (BUMS, ~10-13 yrs exp) at Dr Ajaz Jeevan Dispensary, Hamidia Road; markets ED/PE/nightfall/'gupt rog' with low consult fees (Rs.400-600) and a blended Ayurvedic-Unani 'gupt rog' positioning plus own website and Practo online consults — a low-cost traditional-medicine competitor targeting the same SH/ED demand, but not an allopathic threat.	high
2024664630561314619	Dr Abhishek Saxena	Bhopal	Ayurvedic	BAMS	Baghmugalia (Hoshangabad Road)	"Ayurvedic sexologist (BAMS, ~14 yrs) at Namoh Clinic positioning on men's sexual-health/gupt rog with ""herbal, side-effect-free"" messaging; direct SH-category competitor via Practo/Lybrate/GMB, but non-allopathic so differentiates on holistic/natural angle."	high
3940669953603297557	Nagmata sexual clinic	Chennai	Unknown	unknown	KK Nagar	"Low-visibility single ""sexual clinic"" in KK Nagar with a generic magicpin/local listing (no Practo/Lybrate profile, no named doctor or degree surfaced); minimal online footprint suggests a small local competitor rather than a strong threat versus established Chennai players like Metromale, Dega, or Apollo."	low
8304885443593035571	Aura Sexual Health Clinic	Chennai	Allopathic	MBBS + PG in Venereology (Madras Medical College)	Nanganallur	Allopathic venereologist (Dr. Dinesh Ponraj, MBBS + Venereology PG) with a dedicated, SEO-heavy sexual-health website and Practo presence in Nanganallur; credentialed STD/ED/PE specialist positioning makes it a credible clinical competitor in south Chennai.	high
18240026236694212505	Dr. Kamaraj Hospital	Chennai	Allopathic	MBBS, MD (General Medicine)	Vadapalani	Dr. Kamaraj Hospital for Men's Health is a large, well-established allopathic sexology/andrology brand in Vadapalani with 30+ years reputation, strong review presence and a second Kotturpuram branch — a major incumbent competitor for men's SH/ED demand in Chennai.	high
10840826847200868436	Dr Shah's Clinic for Male Infertility & Sexual Health	Chennai	Allopathic	MBBS	T Nagar	Dr. Shah Dupesh (MBBS, TN MGR University 2011; Fellowship in Clinical Andrology & Sexual Medicine, Chettinad) is a highly specialized, board-certified andrologist positioned as a premium niche expert in male infertility/sexual health — a credible allopathic threat in Chennai with strong Practo/Justdial visibility and a dedicated website (andrologycorner.com), unlike typical sexology clinics.	high
4263123218817478821	sexcounsellingcare	Chennai	Allopathic	MBBS, PhD (Sexual Medicine)	T. Nagar	Dr. D. Narayana Reddy's Dega Institute (sexcounsellingcare.com) is a long-established, high-authority allopathic sexual-medicine clinic in T. Nagar operating since 1982; strong brand reputation, decades of experience and Apollo affiliation make it a credible incumbent competitor in Chennai.	medium
15479438460542321448	Dr J Sanjay Prakash - Urologist & Microsurgical Andrologist	Chennai	Allopathic	MBBS, MS (General Surgery), DNB/DrNB (Urology), Fellowship in Andrology	Nungambakkam	Highly credentialed allopathic super-specialist (microsurgical andrology/urology) at AINU Hospitals Chennai with ~16-17 yrs experience; strong niche in male infertility, ED, varicocele repair and penile implants — a serious specialist-tier competitor for STI/SH/ED demand, not a general practitioner.	high
17249620941679731064	VELUSAMY SUPERSPECIALITY HOSPITAL (Dr.Arul Velusamy, Urologist)	Chennai	Allopathic	MBBS, MS (Gen Surgery), MCh Urology, DNB Urology	Ambattur	Highly-credentialed super-specialist urologist (MCh/DNB Uro from Madras Medical College, 18+ yrs) running own hospital — a strong allopathic authority for male-urology/STI/sexual-health cases, a credibility threat vs a general clinic.	high
11931199128476771221	MAAYA REVIVE Cosmetic Gynecology - Painful Intercourse Vaginismus/stress Urinary Incontinence/Stretch Marks/Labioplasty	Chennai	Allopathic	MBBS, MS (Obstetrics & Gynaecology)	Kolathur	Specialist cosmetic-gynaecology niche (vaginismus, SUI, labiaplasty) led by an experienced MS OB-GYN with US cosmetic-gynaecology fellowship; strong differentiated positioning in women's intimate health, largely outside Allo's sexual/mental-health male-skewed core, so limited direct overlap.	high
17955217102141897866	Dr Rahman Sexual Health Clinic Sexologist Doctor Chennai	Chennai	Unani	BUMS	Triplicane	Established Unani/herbal sexologist in Triplicane (~23 yrs exp) targeting male ED/PE/infertility/STD with strong SEO presence (own sites, Practo, Justdial); non-allopathic herbal positioning is a distinct segment, low clinical threat to Allo's evidence-based model but competes on local male sexual-health search intent.	high
12673026304438077487	S R Clinic	Chennai	Allopathic	MBBS, MS (Orthopaedics)	Anna Nagar West	Solo allopathic orthopaedic practice (Dr. S. Raam Mohan, ~9 yrs); niche ortho focus, not a sexual/mental-health competitor to Allo, so low direct demand threat. Note: multiple 'SR' clinics exist in Chennai (Kilkattalai, Pallikaranai, Kodungaiyur), so identity is not fully certain.	medium
2287893061788912627	Metromale Clinic & Fertility Center	Chennai	Allopathic	MS (also listed as MB/MBBS) with andrology & sexual-medicine fellowships (FECSM, F.S.M USA)	Thoraipakkam (also branches in Porur, T. Nagar)	Strong specialist threat: US-trained andrologist/microsurgeon Dr. Karthik Gunasekaran, 26+ yrs, niche men's sexual health & fertility positioning, multi-branch Chennai footprint — direct competitor to Allo's SH/ED/male-infertility segment.	high
3222754998207007553	Blue Lotus Urology - Superspeciality Clinic for Urology, Andrology and Men's Health	Chennai	Allopathic	MBBS, MS (General Surgery), MCh (Urology)	Guduvanchery	Fellowship-trained urologist/andrologist (MCh Stanley Medical, 17 yrs exp, ex-chief consultant Adhiparasakthi) running a dedicated men's-health superspeciality clinic in Guduvanchery — a credible surgical-grade competitor for ED/andrology cases in south Chennai suburbs.	high
7131924590878106268	Metromale Clinic & Fertility Center	Chennai	Allopathic	MBBS, MS	T. Nagar	Established (26+ yrs) US-trained andrology/sexual-medicine specialist Dr. Karthik Gunasekaran; strong male-sexual-health + fertility positioning, multiple Chennai branches (T. Nagar, Porur, Thoraipakkam) — a credible allopathic competitor in men's SH.	high
11196541453871383800	Dr Gomatthi clinic, Sexology	Coimbatore	Allopathic	MBBS	Saibaba Colony	Dr. K R Gomatthi (MBBS, Coimbatore Medical College 1983) is a highly experienced (~41 yrs) allopathic sexologist with a niche in natural fertility + sexology and added hypnotherapy/naturopathy credentials; well-established Saibaba Colony presence and Practo profile make her a credible legacy competitor, though single-doctor and older-generation positioning.	high
9376852630454149228	Alfa Health Centre	Coimbatore	Unani	BUMS	Ram Nagar	Unani sexology chain (Dr. Niyaz Roy Ahamed, BUMS) targeting sexual-health/ED/PE patients — same category demand as Allo but non-allopathic herbal positioning; 4.4/19 reviews, multi-city branches (Kerala/Bangalore/Coimbatore). Threat is low on clinical-quality-seeking patients but competes for STI/SH search intent.	high
16206976263633431409	Dr Hameed Ibrahim Sexologist & Infertility Specialist Ayurveda	Coimbatore	Ayurvedic	BAMS	Near Railway Station (State Bank Road / Gopalapuram)	"Branch of the pan-India Khokar Ayurveda chain (15+ branches, 60+ yr ""Kerala Ayurveda"" legacy, heavy Instagram/YouTube marketing); Dr Hameed Ibrahim Khokar holds BAMS. Coimbatore is only a visiting camp — 2nd Sunday/month, 10am-7pm — so low local availability; positioning is Ayurvedic ED/PE/infertility (CDRT), a niche non-allopathic competitor rather than a full-time clinic threat."	high
13297993290660882263	Baari dispensary	Coimbatore	Unknown	unknown	Kalapatti Pirivu	"Only a bare Justdial listing exists (Kalapatti Pirivu); no doctor name, degree, or reviews are discoverable online — low digital footprint means negligible competitive threat, though the ""Baari""/""dispensary"" naming hints at a possible small Unani/traditional single-practitioner setup (unconfirmed)."	low
17982426685771759710	KK Diabetes & Sex Care Centre	Coimbatore	Allopathic	MD (General Medicine / Physician)	Thudiyalur	Established since 2003, strong reputation (4.9/5, ~628 reviews) with a dedicated sexologist website and multi-platform presence (Practo, Justdial, Lybrate); MD-qualified allopathic sexologist positioning it as a credible ED/PE/STD competitor in north Coimbatore.	high
11638799348519330042	Antarman psychiatry & EEG clinic || Dr Hetal Mehta - psychiatrist, sexologist & De-addiction specialist	Gandhinagar	Allopathic	MBBS, MD (Psychiatry)	Sector 22	Genuine allopathic psychiatrist (MBBS + MD Psychiatry from govt medical colleges) positioning as psychiatrist + sexologist + de-addiction specialist — a credible qualified competitor in the SH/MH/de-addiction space in Gandhinagar, also affiliated with SGS Health1 Super Speciality Hospital.	high
8827513240111051608	Dr Hameed Khokar Sexologist Kerala Ayurveda Infertility Specialist	Gandhinagar	Ayurvedic	BAMS		"Chain player (Khokar Group of Clinics, ""150+ years Kerala Ayurveda legacy"") led by BAMS-qualified Dr Hameed Ibrahim Khokar; strong multi-city Ayurvedic sexual-health/infertility positioning and SEO-heavy web presence — a credible Ayurvedic competitor but not allopathic, so lower overlap with MBBS-led sexual-health demand."	high
2150135142845672270	Antarman Psychiatry Clinic	Gandhinagar	Allopathic	MBBS, MD (Psychiatry)	Sector 22	Dr. Hetal Mehta is a qualified MD psychiatrist (10+ yrs) explicitly specialising in psychosexual disorders and de-addiction — a direct, credentialled allopathic competitor to Allo's SH/MH offering; 97% recommended across 85 ratings but no written reviews yet, so review moat is thin.	high
2647598301389196335	Dr. Bagalkot Sexologist	Hubli	Mixed	BUMS (Unani; associate BUMS/MD, founder listed as RMP/Unani consultant)	Old Hubli / Near Old Bus Stand (Station Road, opp. Corporation Bank)	Clinic self-brands both Ayurvedic and Unani; founder listed as Senior Unani Consultant / RMP, associate holds BUMS MD — no single allopathic degree, so classified Mixed AYUSH.	medium
3578192774732132628	Dr KA Yadgir Sexologist since 1980	Hubli	Unknown	unknown		"Legacy solo ""sexologist since 1980"" gupt-rog clinic in Hubli with only a Facebook presence and no listed degree; positioning and longevity fit a traditional Ayurvedic/Unani hakim-style practice rather than allopathic, but degree unverifiable. Low online footprint = weak digital threat, though long-standing local word-of-mouth brand."	low
2448389525832713574	Dr Shambhu K MBBS, MS, MCh, F MAS Urologist & Andrologist, Laparoscopic & Transplant Surgeon	Hubli	Allopathic	MBBS, MS, MCh (Urology)	Gokul Road / Rajendra Nagar (Dollars Colony)	Highly specialised super-specialist urologist/andrologist (MCh) at SeCURE Hospital with strong reviews (98% rating); credible competitor for sexual-health/men's-health (ED, andrology) demand in Hubli, but a surgical-hospital positioning rather than a broad SH/MH clinic.	high
17569879316649735075	Dr Surendra Reddy Andrology	Hyderabad	Allopathic	MBBS, MS (General Surgery), MCh (Urology)	Jubilee Hills	Strong allopathic threat: super-specialist urologist/andrologist (MCh Urology, NIMS) running dedicated Androcare Andrology & Men's Health Institute in premium Jubilee Hills; high clinical credibility for male sexual-health positioning.	high
479152443239110577	DR.ALI'S SEXUAL HEALTH CLINIC	Hyderabad	Unknown	unknown	Chilkalguda, Padmarao Nagar, Secunderabad	Standalone single-doctor sexual-health/gupt-rog clinic in Chilkalguda (near Secunderabad railway station) with a very strong reputation signal — 4.9/5 across ~47 reviews, open 9am–10pm all 7 days, treating ED, oligospermia and phimosis. No degree is published on any directory (Yappe/Grotal/Justdial), so pathy can't be confirmed; the name and positioning suggest a likely Unani/hakim practitioner (common in old Secunderabad), but this is unverified. A high-review, long-hours neighbourhood incumbent = a credible local threat to Allo's Secunderabad clinic.	low
13106034387764831720	Care and Cure	Hyderabad	Unani	BUMS	Banjara Hills	Care and Cure Sexologist & Infertility Specialist (Banjara Hills, beside TV9) is a BUMS/Unani herbal-medicine sexology clinic claiming ~39 years in practice — a legacy-trust, traditional-medicine competitor in the SH/sexology space Allo targets, but non-allopathic positioning is a differentiator Allo can exploit on evidence-based credibility.	medium
10415224175405117409	Care and Cure	Hyderabad	Mixed	unknown	Banjara Hills	"Dr. Khamruddin's ""Care and Cure"" is a high-volume AYUSH sexology/infertility clinic (self-claimed 1,00,000+ patients, 3,400+ reviews at 4.9, practicing since 1986) explicitly marketing ""Ayurveda + Unani + modern medicine"" — a strong traditional-medicine competitor in Allo's ED/male-infertility category, but exact doctor degree not published so system unconfirmed."	medium
